sample_id,affect,alpha,liwc_authenticity,perplexity,text_length_x,consecutive_coherence,topic_consistency,repetition_score,combined_coherence,sentence_count,text_length_y,stability_index
baseline_a0_01,baseline,0,91.59,33.718685150146484,384,0.2561257481575012,0.4742532670497894,0.0,0.3215640187263489,3,384,0.3503669528143001
baseline_a0_02,baseline,0,92.44,37.79922103881836,390,0.236129343509674,0.236129343509674,0.0,0.236129343509674,2,390,0.26190305682725595
baseline_a0_03,baseline,0,86.84,29.71488380432129,315,0.3025981783866882,0.2252686023712158,0.0,0.2793993055820465,3,315,0.31195681113442986
baseline_a0_04,baseline,0,79.85,38.78305816650391,337,0.6574414968490601,0.6608241200447083,0.0,0.6584562659263611,3,337,0.6835925939536008
curiosity_a7_06,curiosity,7,97.62,19.691282272338867,328,0.1367689371109008,0.3676692247390747,0.0,0.2060390263795852,3,328,0.2543685589256106
curiosity_a7_08,curiosity,7,98.67,42.18439483642578,325,0.4941741824150085,0.4398518800735473,0.0,0.4778774976730346,3,325,0.5010340106631508
curiosity_a10_09,curiosity,10,64.16,36.204349517822266,936,0.5990594029426575,0.4387661516666412,0.0,0.5509713888168335,3,936,0.5778499665358435
curiosity_a10_10,curiosity,10,71.27,28.856346130371094,667,0.2342929393053054,0.2277386039495468,0.0,0.2323266416788101,16,667,0.26582035841271273
curiosity_a12_11,curiosity,12,57.77,42.54541015625,599,0.0,0.0,0.0,0.0,1,599,0.022964532804072617
curiosity_a12_12,curiosity,12,93.6,41.10552978515625,419,0.381394624710083,0.340047538280487,0.0,0.3689905107021332,3,419,0.39274036030864584
curiosity_a15_13,curiosity,15,45.39,29.3161563873291,748,0.138235792517662,0.2510890960693359,0.1,0.1220917850732803,16,748,0.15507749695653072
curiosity_a15_14,curiosity,15,88.92,25.555768966674805,897,0.3689095675945282,0.3008294999599457,0.0,0.3484855592250824,7,897,0.3861421603671888
fear_a7_14,fear,7,97.7,26.020605087280277,354,0.1136141493916511,0.1136141493916511,0.0,0.1136141493916511,2,354,0.15062294311665697
fear_a7_15,fear,7,52.88,6.644692897796631,580,0.5066596269607544,0.3770645260810852,0.0507246376811594,0.4424187839031219,24,580,0.5732284859237514
fear_a10_16,fear,10,87.45,24.522052764892575,929,0.5411027669906616,0.6163657903671265,0.0,0.5636816620826721,6,929,0.602863463374752
fear_a10_34,fear,10,99.86,24.022899627685547,688,0.27955362200737,0.2540821731090545,0.0,0.2719121873378753,9,688,0.31187558146401373
fear_a12_17,fear,12,93.96,19.31160926818848,774,0.3554578721523285,0.3349782228469848,0.0,0.3493139743804931,12,774,0.398546902544692
fear_a12_18,fear,12,99.8,35.74923324584961,765,0.293412834405899,0.2500258982181549,0.0,0.2803967595100403,13,765,0.30760821160511054
fear_a15_19,fear,15,99.97,40.09292984008789,533,0.5282032489776611,0.1284501105546951,0.1339031339031339,0.3413257300853729,27,533,0.36566081653190946
fear_a15_20,fear,15,100.0,6.867681503295898,426,0.7309036254882812,0.2632153332233429,0.375,0.4030970931053161,16,426,0.5301993403913919
apathy_a10_21,apathy,10,72.01,18.43832397460937,710,0.3304941356182098,0.1213377192616462,0.0,0.2677472233772278,22,710,0.31919198792103387
apathy_a10_22,apathy,10,62.47,10.395108222961426,742,0.3850095272064209,0.1666256785392761,0.0894736842105263,0.2747575342655182,20,742,0.3625144893056621
apathy_a7_23,apathy,7,74.64,26.004783630371094,576,0.1990112960338592,0.2927964329719543,0.0,0.2271468341350555,10,576,0.2641773104272389
apathy_a7_24,apathy,7,63.35,21.6804313659668,604,0.2733035385608673,0.1861661225557327,0.0,0.2471623122692108,8,604,0.2912531844340389
apathy_a12_29,apathy,12,84.1,12.965208053588867,582,0.4054591953754425,0.0887760519981384,0.03,0.2954542636871338,25,582,0.36706078728224867
apathy_a12_31,apathy,12,98.88,9.885075569152832,500,0.2951713800430298,0.2622168660163879,0.0441176470588235,0.2632262110710144,17,500,0.3550951185165351
apathy_a0_26,apathy,15,99.99,19.00759696960449,512,0.4132282435894012,0.2601949274539947,0.0383064516129032,0.3481650054454803,32,512,0.3981460202329732
apathy_a15_27,apathy,15,97.57,13.256650924682615,593,0.2950941324234009,0.1257831752300262,0.0944669365721997,0.197067379951477,39,593,0.2672100807360417
calm_a7_18,calm,7,90.48,44.94214630126953,408,0.2844355702400207,0.27884042263031,0.0,0.2827570140361786,6,408,0.3045235199682788
calm_a7_38,calm,7,99.92,19.581052780151367,838,0.2838690876960754,0.2688193917274475,0.0,0.2793541848659515,11,838,0.32794256422059814
calm_a10_19,calm,10,99.46,26.59311294555664,829,0.3029486835002899,0.175650343298912,0.0,0.2647591829299927,12,829,0.3010001102212729
calm_a10_39,calm,10,64.37,37.89419937133789,708,0.3485837578773498,0.2000718712806701,0.0151515151515151,0.2964544296264648,12,708,0.32216520439914015
calm_a12_20,calm,12,93.47,52.31675338745117,768,0.3234403133392334,0.2684002518653869,0.0,0.306928277015686,11,768,0.3256841077155231
calm_a12_36,calm,12,99.26,34.23881530761719,715,0.3478805422782898,0.413960188627243,0.0095238095238095,0.3629425168037414,15,715,0.39132031529868233
calm_a15_28,calm,15,99.99,48.50666427612305,436,0.5439881682395935,0.3677336573600769,0.0,0.4911118149757385,5,436,0.5113111157087168
calm_a15_40,calm,15,98.45,32.1631965637207,782,0.3145990371704101,0.1733356416225433,0.0,0.2722200155258178,8,782,0.3023739241841274
anger_a10_33,anger,10,74.76,12.34605312347412,778,0.4760220944881439,0.2066613882780075,0.0,0.3952139019966125,13,778,0.47014242136846474
anger_a12_34,anger,12,44.36,26.55420684814453,1235,0.2771728932857513,0.2383785098791122,0.0,0.2655345797538757,13,1235,0.3018266786522818
anger_a15_35,anger,15,99.88,34.104454040527344,724,0.3446246683597564,0.3078902661800384,0.0,0.3336043357849121,13,724,0.36209074947035275
peace_a15_37,peace,15,99.77,16.483688354492188,644,0.642557680606842,0.4885174334049225,0.1666666666666666,0.5130122900009155,4,644,0.5702084593517073
peace_a15_41,peace,15,86.6,17.46910858154297,730,0.3067189157009125,0.178493246436119,0.0086580086580086,0.2639222145080566,22,730,0.3180666793361721
peace_a12_42,peace,12,72.59,17.997404098510742,709,0.4224378764629364,0.3405293524265289,0.0,0.3978653252124786,4,709,0.45050409600529406
peace_a12_40,peace,12,99.77,28.480884552001957,782,0.1992636919021606,0.1930230855941772,0.0,0.1973915100097656,17,782,0.23131179480434422
peace_a10_43,peace,10,52.18,29.655765533447266,759,0.2882153987884521,0.1857475340366363,0.0,0.2574750185012817,5,759,0.29009530974499376
