sample_id,affect,alpha,liwc_authenticity,perplexity,text_length
baseline_a0_01,baseline,0,91.59,33.718685150146484,384
baseline_a0_02,baseline,0,92.44,37.79922103881836,390
baseline_a0_03,baseline,0,86.84,29.71488380432129,315
baseline_a0_04,baseline,0,79.85,38.783058166503906,337
curiosity_a7_06,curiosity,7,97.62,19.691282272338867,328
curiosity_a7_08,curiosity,7,98.67,42.18439483642578,325
curiosity_a10_09,curiosity,10,64.16,36.204349517822266,936
curiosity_a10_10,curiosity,10,71.27,28.856346130371094,667
curiosity_a12_11,curiosity,12,57.77,42.54541015625,599
curiosity_a12_12,curiosity,12,93.6,41.10552978515625,419
curiosity_a15_13,curiosity,15,45.39,29.3161563873291,748
curiosity_a15_14,curiosity,15,88.92,25.555768966674805,897
fear_a7_14,fear,7,97.7,26.020605087280273,354
fear_a7_15,fear,7,52.88,6.644692897796631,580
fear_a10_16,fear,10,87.45,24.522052764892578,929
fear_a10_34,fear,10,99.86,24.022899627685547,688
fear_a12_17,fear,12,93.96,19.311609268188477,774
fear_a12_18,fear,12,99.8,35.74923324584961,765
fear_a15_19,fear,15,99.97,40.09292984008789,533
fear_a15_20,fear,15,100.0,6.867681503295898,426
apathy_a10_21,apathy,10,72.01,18.438323974609375,710
apathy_a10_22,apathy,10,62.47,10.395108222961426,742
apathy_a7_23,apathy,7,74.64,26.004783630371094,576
apathy_a7_24,apathy,7,63.35,21.680431365966797,604
apathy_a12_29,apathy,12,84.1,12.965208053588867,582
apathy_a12_31,apathy,12,98.88,9.885075569152832,500
apathy_a0_26,apathy,15,99.99,19.007596969604492,512
apathy_a15_27,apathy,15,97.57,13.256650924682617,593
calm_a7_18,calm,7,90.48,44.94214630126953,408
calm_a7_38,calm,7,99.92,19.581052780151367,838
calm_a10_19,calm,10,99.46,26.59311294555664,829
calm_a10_39,calm,10,64.37,37.89419937133789,708
calm_a12_20,calm,12,93.47,52.31675338745117,768
calm_a12_36,calm,12,99.26,34.23881530761719,715
calm_a15_28,calm,15,99.99,48.50666427612305,436
calm_a15_40,calm,15,98.45,32.1631965637207,782
anger_a10_33,anger,10,74.76,12.346053123474121,778
anger_a12_34,anger,12,44.36,26.55420684814453,1235
anger_a15_35,anger,15,99.88,34.104454040527344,724
peace_a15_37,peace,15,99.77,16.483688354492188,644
peace_a15_41,peace,15,86.6,17.46910858154297,730
peace_a12_42,peace,12,72.59,17.997404098510742,709
peace_a12_40,peace,12,99.77,28.480884552001953,782
peace_a10_43,peace,10,52.18,29.655765533447266,759
peace_a10_41,peace,10,88.19,18.847524642944336,729
peace_a7_42,peace,7,87.3,24.94862174987793,918
peace_a7_43,peace,7,97.21,19.763925552368164,849
