sample_id,affect,alpha,liwc_authenticity,consecutive_coherence,topic_consistency,repetition_score,combined_coherence,sentence_count,text_length
baseline_a0_01,baseline,0,91.59,0.2561257481575012,0.47425326704978943,0.0,0.3215640187263489,3,384
baseline_a0_02,baseline,0,92.44,0.23612934350967407,0.23612934350967407,0.0,0.23612934350967407,2,390
baseline_a0_03,baseline,0,86.84,0.30259817838668823,0.22526860237121582,0.0,0.2793993055820465,3,315
baseline_a0_04,baseline,0,79.85,0.6574414968490601,0.6608241200447083,0.0,0.6584562659263611,3,337
curiosity_a7_06,curiosity,7,97.62,0.13676893711090088,0.3676692247390747,0.0,0.20603902637958527,3,328
curiosity_a7_08,curiosity,7,98.67,0.49417418241500854,0.43985188007354736,0.0,0.47787749767303467,3,325
curiosity_a10_09,curiosity,10,64.16,0.5990594029426575,0.43876615166664124,0.0,0.5509713888168335,3,936
curiosity_a10_10,curiosity,10,71.27,0.23429293930530548,0.22773860394954681,0.0,0.23232664167881012,16,667
curiosity_a12_11,curiosity,12,57.77,0.0,0.0,0.0,0.0,1,599
curiosity_a12_12,curiosity,12,93.6,0.381394624710083,0.34004753828048706,0.0,0.3689905107021332,3,419
curiosity_a15_13,curiosity,15,45.39,0.13823579251766205,0.25108909606933594,0.1,0.12209178507328033,16,748
curiosity_a15_14,curiosity,15,88.92,0.3689095675945282,0.3008294999599457,0.0,0.3484855592250824,7,897
fear_a7_14,fear,7,97.7,0.11361414939165115,0.11361414939165115,0.0,0.11361414939165115,2,354
fear_a7_15,fear,7,52.88,0.5066596269607544,0.3770645260810852,0.050724637681159424,0.44241878390312195,24,580
fear_a10_16,fear,10,87.45,0.5411027669906616,0.6163657903671265,0.0,0.5636816620826721,6,929
fear_a10_34,fear,10,99.86,0.27955362200737,0.25408217310905457,0.0,0.27191218733787537,9,688
fear_a12_17,fear,12,93.96,0.3554578721523285,0.33497822284698486,0.0,0.34931397438049316,12,774
fear_a12_18,fear,12,99.8,0.29341283440589905,0.2500258982181549,0.0,0.2803967595100403,13,765
fear_a15_19,fear,15,99.97,0.5282032489776611,0.12845011055469513,0.1339031339031339,0.3413257300853729,27,533
fear_a15_20,fear,15,100.0,0.7309036254882812,0.2632153332233429,0.375,0.40309709310531616,16,426
apathy_a10_21,apathy,10,72.01,0.33049413561820984,0.12133771926164627,0.0,0.2677472233772278,22,710
apathy_a10_22,apathy,10,62.47,0.3850095272064209,0.16662567853927612,0.08947368421052632,0.2747575342655182,20,742
apathy_a7_23,apathy,7,74.64,0.19901129603385925,0.29279643297195435,0.0,0.22714683413505554,10,576
apathy_a7_24,apathy,7,63.35,0.2733035385608673,0.18616612255573273,0.0,0.24716231226921082,8,604
apathy_a12_29,apathy,12,84.1,0.4054591953754425,0.08877605199813843,0.03,0.2954542636871338,25,582
apathy_a12_31,apathy,12,98.88,0.2951713800430298,0.26221686601638794,0.04411764705882353,0.2632262110710144,17,500
apathy_a0_26,apathy,15,99.99,0.41322824358940125,0.26019492745399475,0.038306451612903226,0.34816500544548035,32,512
apathy_a15_27,apathy,15,97.57,0.2950941324234009,0.12578317523002625,0.09446693657219973,0.19706737995147705,39,593
calm_a7_18,calm,7,90.48,0.28443557024002075,0.27884042263031006,0.0,0.2827570140361786,6,408
calm_a7_38,calm,7,99.92,0.28386908769607544,0.2688193917274475,0.0,0.27935418486595154,11,838
calm_a10_19,calm,10,99.46,0.3029486835002899,0.17565034329891205,0.0,0.2647591829299927,12,829
calm_a10_39,calm,10,64.37,0.34858375787734985,0.20007187128067017,0.015151515151515152,0.29645442962646484,12,708
calm_a12_20,calm,12,93.47,0.3234403133392334,0.26840025186538696,0.0,0.30692827701568604,11,768
calm_a12_36,calm,12,99.26,0.3478805422782898,0.41396018862724304,0.009523809523809525,0.36294251680374146,15,715
calm_a15_28,calm,15,99.99,0.5439881682395935,0.3677336573600769,0.0,0.4911118149757385,5,436
calm_a15_40,calm,15,98.45,0.31459903717041016,0.17333564162254333,0.0,0.27222001552581787,8,782
anger_a10_33,anger,10,74.76,0.4760220944881439,0.2066613882780075,0.0,0.39521390199661255,13,778
anger_a12_34,anger,12,44.36,0.27717289328575134,0.23837850987911224,0.0,0.26553457975387573,13,1235
anger_a15_35,anger,15,99.88,0.34462466835975647,0.30789026618003845,0.0,0.3336043357849121,13,724
peace_a15_37,peace,15,99.77,0.642557680606842,0.4885174334049225,0.16666666666666666,0.5130122900009155,4,644
peace_a15_41,peace,15,86.6,0.3067189157009125,0.17849324643611908,0.008658008658008658,0.26392221450805664,22,730
peace_a12_42,peace,12,72.59,0.4224378764629364,0.34052935242652893,0.0,0.39786532521247864,4,709
peace_a12_40,peace,12,99.77,0.19926369190216064,0.19302308559417725,0.0,0.19739151000976562,17,782
peace_a10_43,peace,10,52.18,0.28821539878845215,0.18574753403663635,0.0,0.25747501850128174,5,759
peace_a10_41,peace,10,88.19,0.41579052805900574,0.4440329670906067,0.0,0.42426323890686035,10,729
peace_a7_42,peace,7,87.3,0.5896616578102112,0.49932682514190674,0.0,0.5625612139701843,7,918
peace_a7_43,peace,7,97.21,0.34718942642211914,0.3044418394565582,0.0,0.3343651294708252,11,849
